id,total_energy_expenditure,diet_preference,meal_preference,max_energy_per_meal,protein,fat,carbs,allergens
1,1997,vegan,"['low_carb', 'low_sugar']",998,90,63,266,"tree nuts, fish"
2,2492,vegetarian,"['low_sugar', 'low_carb']",778,77,103,312,eggs
3,1787,omnivore,"['low_sugar', 'keto']",812,116,62,189,
4,2044,omnivore,"['gluten_free', 'high_protein']",681,55,67,303,"dairy, dairy"
5,2545,paleo,"['gluten_free', 'low_sugar']",848,134,100,275,"tree nuts, fish"
6,1808,pescetarian,"['keto', 'low_sugar']",1506,67,69,228,"peanuts, wheat"
7,1957,omnivore,"['low_carb', 'dairy_free']",1957,51,64,293,"wheat, peanuts"
8,2133,vegan,"['high_protein', 'dairy_free']",1777,88,70,287,
9,2026,paleo,"['low_sugar', 'keto']",633,121,49,274,tree nuts
10,2068,vegetarian,"['low_sugar', 'high_protein']",689,128,70,230,"dairy, sesame seeds"
11,1949,vegetarian,"['low_carb', 'high_protein']",1949,141,70,188,"tree nuts, sesame seeds"
12,1570,vegan,"['dairy_free', 'keto']",1308,65,53,205,
13,1773,vegan,"['dairy_free', 'high_protein']",554,55,51,271,
14,1727,vegetarian,"['dairy_free', 'keto']",575,108,55,197,peanuts
15,2053,vegan,"['keto', 'gluten_free']",933,90,83,234,tree nuts
16,2158,vegetarian,"['low_sugar', 'dairy_free']",1079,109,84,239,sesame seeds
17,2008,pescetarian,"['high_protein', 'dairy_free']",627,144,75,188,
18,1465,vegetarian,"['gluten_free', 'dairy_free']",488,94,44,171,
19,2666,vegetarian,"['low_sugar', 'keto']",2221,104,70,402,"soybeans, fish"
20,2057,vegetarian,"['low_carb', 'keto']",1028,69,56,317,fish
21,1200,omnivore,"['high_protein', 'gluten_free']",545,65,39,146,eggs
22,2068,omnivore,"['low_carb', 'high_protein']",646,67,66,300,"crustacean shellfish, eggs"
23,2304,pescetarian,"['dairy_free', 'high_protein']",768,140,51,319,
24,1803,pescetarian,"['low_sugar', 'high_protein']",901,103,68,193,fish
25,1639,pescetarian,"['low_sugar', 'dairy_free']",744,96,56,186,tree nuts
26,1768,vegan,"['gluten_free', 'high_protein']",589,83,71,198,
27,2797,pescetarian,"['low_carb', 'high_protein']",874,134,123,287,
28,1700,pescetarian,"['gluten_free', 'low_sugar']",566,80,59,210,soybeans
29,2017,omnivore,"['high_protein', 'dairy_free']",630,148,59,221,sesame seeds
30,1504,paleo,"['high_protein', 'keto']",683,77,36,217,"peanuts, fish"
31,2120,pescetarian,"['dairy_free', 'keto']",706,123,90,202,"dairy, eggs"
32,1650,omnivore,"['low_sugar', 'keto']",825,56,41,262,soybeans
33,2577,vegetarian,"['gluten_free', 'keto']",1288,140,87,306,
34,2024,paleo,"['dairy_free', 'gluten_free']",1686,117,85,195,fish
35,1626,vegan,"['high_protein', 'gluten_free']",813,99,65,159,
36,1613,vegan,"['dairy_free', 'keto']",806,62,54,217,fish
37,2088,omnivore,"['low_sugar', 'high_protein']",1740,72,49,338,
38,2125,paleo,"['high_protein', 'low_carb']",965,109,56,293,"sesame seeds, crustacean shellfish"
39,2466,vegetarian,"['high_protein', 'dairy_free']",2055,91,95,309,
40,2246,pescetarian,"['keto', 'dairy_free']",1123,79,51,366,"fish, wheat"
41,2174,paleo,"['gluten_free', 'dairy_free']",679,80,50,349,
42,2053,vegetarian,"['low_carb', 'keto']",1026,117,81,212,crustacean shellfish
43,1970,vegan,"['low_sugar', 'dairy_free']",656,54,82,252,sesame seeds
44,1976,vegan,"['keto', 'low_carb']",1646,101,47,285,"crustacean shellfish, wheat"
45,2382,paleo,"['dairy_free', 'low_sugar']",1191,145,78,272,"fish, sesame seeds"
46,2104,vegan,"['dairy_free', 'high_protein']",1052,75,49,339,
47,2233,omnivore,"['high_protein', 'dairy_free']",1116,81,53,357,"fish, soybeans"
48,1872,pescetarian,"['low_sugar', 'high_protein']",585,95,72,208,
49,1904,vegan,"['low_carb', 'dairy_free']",1904,53,56,296,
50,1883,vegan,"['dairy_free', 'high_protein']",941,114,82,171,dairy
51,2310,vegetarian,"['keto', 'dairy_free']",1050,162,68,260,"crustacean shellfish, sesame seeds"
52,2280,paleo,"['gluten_free', 'low_sugar']",1036,68,58,369,"tree nuts, wheat"
53,2153,paleo,"['dairy_free', 'low_carb']",2153,148,53,269,crustacean shellfish
54,2544,omnivore,"['gluten_free', 'dairy_free']",795,127,104,272,"tree nuts, dairy"
55,1913,paleo,"['keto', 'low_sugar']",637,78,52,280,fish
56,1868,vegetarian,"['low_sugar', 'low_carb']",934,88,49,266,tree nuts
57,2196,vegan,"['gluten_free', 'low_sugar']",1830,146,78,226,"crustacean shellfish, wheat"
58,2485,omnivore,"['high_protein', 'dairy_free']",2070,184,91,231,
59,1384,omnivore,"['high_protein', 'keto']",461,75,46,166,eggs
60,2155,paleo,"['keto', 'low_sugar']",1795,54,95,268,"tree nuts, tree nuts"
61,1990,paleo,"['gluten_free', 'low_sugar']",904,80,57,286,"tree nuts, wheat"
62,2374,vegetarian,"['low_sugar', 'high_protein']",1978,119,79,295,
63,1790,omnivore,"['low_carb', 'low_sugar']",895,48,70,240,peanuts
64,2083,omnivore,"['dairy_free', 'low_carb']",694,59,52,343,fish
65,1871,omnivore,"['low_sugar', 'dairy_free']",935,131,70,177,
66,2007,vegan,"['keto', 'low_sugar']",2007,131,55,244,soybeans
67,1628,omnivore,"['low_carb', 'low_sugar']",1628,71,41,242,"fish, eggs"
68,1833,vegetarian,"['low_carb', 'high_protein']",916,81,79,198,crustacean shellfish
69,1911,vegetarian,"['high_protein', 'gluten_free']",868,117,53,239,peanuts
70,1788,omnivore,"['low_carb', 'high_protein']",894,56,57,262,
71,2257,vegetarian,"['dairy_free', 'low_sugar']",1880,150,98,191,sesame seeds
72,1794,omnivore,"['gluten_free', 'keto']",560,101,48,239,soybeans
73,2506,omnivore,"['dairy_free', 'gluten_free']",2088,167,102,227,"dairy, sesame seeds"
74,2222,pescetarian,"['low_sugar', 'dairy_free']",694,151,54,281,
75,1910,omnivore,"['low_carb', 'high_protein']",596,84,43,294,tree nuts
76,1747,paleo,"['gluten_free', 'high_protein']",873,102,47,228,"soybeans, peanuts"
77,1274,pescetarian,"['high_protein', 'low_sugar']",637,93,36,141,
78,2134,pescetarian,"['high_protein', 'gluten_free']",666,101,59,297,peanuts
79,1876,vegan,"['gluten_free', 'dairy_free']",625,67,50,288,soybeans
80,2157,paleo,"['keto', 'low_sugar']",1797,83,61,318,
81,1926,omnivore,"['high_protein', 'low_sugar']",1605,51,53,309,sesame seeds
82,2518,omnivore,"['dairy_free', 'low_carb']",1144,114,95,301,
83,2244,vegetarian,"['high_protein', 'dairy_free']",2244,104,69,301,
84,2008,omnivore,"['high_protein', 'gluten_free']",1673,94,79,228,
85,2041,vegetarian,"['low_carb', 'high_protein']",927,122,80,206,
86,2236,vegan,"['keto', 'gluten_free']",698,100,80,277,"tree nuts, dairy"
87,2202,paleo,"['high_protein', 'low_carb']",688,144,82,220,"wheat, eggs"
88,1935,pescetarian,"['keto', 'gluten_free']",967,101,56,254,"dairy, soybeans"
89,1819,paleo,"['dairy_free', 'gluten_free']",568,134,77,145,"peanuts, wheat"
90,2018,paleo,"['gluten_free', 'low_carb']",630,61,73,277,
91,1795,omnivore,"['keto', 'low_sugar']",815,127,68,167,
92,2459,omnivore,"['high_protein', 'low_sugar']",2049,94,109,274,"soybeans, fish"
93,1901,vegetarian,"['gluten_free', 'low_sugar']",864,74,50,288,tree nuts
94,2185,vegetarian,"['low_sugar', 'keto']",1092,117,52,310,fish
95,2042,pescetarian,"['dairy_free', 'low_sugar']",680,104,58,275,
96,1857,omnivore,"['keto', 'high_protein']",1547,114,58,217,dairy
97,2206,vegan,"['high_protein', 'keto']",1002,78,75,304,"dairy, fish"
98,1961,pescetarian,"['dairy_free', 'gluten_free']",1634,103,68,231,"tree nuts, tree nuts"
99,2187,pescetarian,"['gluten_free', 'dairy_free']",683,148,60,261,crustacean shellfish
100,1844,vegetarian,"['dairy_free', 'high_protein']",1844,52,71,247,tree nuts
